suffix,reputation,popularity,level,branches,leaves,cnt,cntPos,cntNeg,isPSL,features
museum.crafts,0,0,2,0,0,1,0,0,1,"museum.crafts: museum.crafts|mus,eum.crafts"
museum.muenchen,0,0.0131,2,0,0,2,0,0,1,"museum.muenchen: museum.muen,chen|mus,eum.muen,chen"
museum.sydney,0,0,2,0,0,1,0,0,1,"museum.sydney: museum.sydney|mus,eum.sydney"
museum.birthplace,0,0,2,0,0,1,0,0,1,"museum.birthplace: museum.birthplace|mus,eum.birthplace"
museum.field,0,0,2,0,0,1,0,0,1,"museum.field: museum.field|mus,eum.field"
museum.paderborn,0,0,2,0,0,1,0,0,1,"museum.paderborn: museum.pader,born|mus,eum.pader,born"
museum.bruxelles,0,0,2,0,0,1,0,0,1,"museum.bruxelles: museum.bruxelles|mus,eum.bruxelles"
museum.baseball,0,0,2,0,0,1,0,0,1,"museum.baseball: museum.baseball|mus,eum.baseball"
museum.uslivinghistory,0,0,2,0,0,1,0,0,1,"museum.uslivinghistory: museum.usli,ving,history|mus,eum.usli,ving,history"
museum.essex,0,0,2,0,0,1,0,0,1,"museum.essex: museum.essex|mus,eum.essex"
museum.franziskaner,0,0.0135,2,0,0,2,0,0,1,"museum.franziskaner: museum.franz,iska,ner|mus,eum.franz,iska,ner"
museum.sciencecenters,0,0,2,0,0,1,0,0,1,"museum.sciencecenters: museum.science,centers|mus,eum.science,centers"
museum.bristol,0,0,2,0,0,1,0,0,1,"museum.bristol: museum.bristol|mus,eum.bristol"
museum.bauern,0,0,2,0,0,1,0,0,1,"museum.bauern: museum.bauern|mus,eum.bauern"
museum.salvadordali,0,0,2,0,0,1,0,0,1,"museum.salvadordali: museum.salvador,dali|mus,eum.salvador,dali"
museum.luzern,0,0,2,0,0,1,0,0,1,"museum.luzern: museum.luzern|mus,eum.luzern"
museum.egyptian,0,0,2,0,0,1,0,0,1,"museum.egyptian: museum.egyptian|mus,eum.egyptian"
museum.air,0,0,2,0,0,1,0,0,1,"museum.air: museum.air|mus,eum.air"
museum.rockart,0,0,2,0,0,1,0,0,1,"museum.rockart: museum.rock,art|mus,eum.rock,art"
museum.arboretum,0,0,2,0,0,1,0,0,1,"museum.arboretum: museum.arboretum|mus,eum.arboretum"
museum.settlement,0,0,2,0,0,1,0,0,1,"museum.settlement: museum.settlement|mus,eum.settlement"
museum.settlers,0,0,2,0,0,1,0,0,1,"museum.settlers: museum.settlers|mus,eum.settlers"
museum.nationalheritage,0,0,2,0,0,1,0,0,1,"museum.nationalheritage: museum.national,heritage|mus,eum.national,heritage"
museum.mad,0,0,2,0,0,1,0,0,1,"museum.mad: museum.mad|mus,eum.mad"
museum.marylhurst,0,0,2,0,0,1,0,0,1,"museum.marylhurst: museum.maryl,hurst|mus,eum.maryl,hurst"
museum.sciencesnaturelles,0,0,2,0,0,1,0,0,1,"museum.sciencesnaturelles: museum.sciences,nature,lles|mus,eum.sciences,nature,lles"
museum.austin,0,0,2,0,0,1,0,0,1,"museum.austin: museum.austin|mus,eum.austin"
museum.historisch,0,0,2,0,0,1,0,0,1,"museum.historisch: museum.hist,orisch|mus,eum.hist,orisch"
museum.luxembourg,0,0.0132,2,0,0,2,0,0,1,"museum.luxembourg: museum.luxembourg|mus,eum.luxembourg"
museum.zoological,0,0,2,0,0,1,0,0,1,"museum.zoological: museum.zoological|mus,eum.zoological"
museum.elvendrell,0,0,2,0,0,1,0,0,1,"museum.elvendrell: museum.elven,dre,ll|mus,eum.elven,dre,ll"
museum.ethnology,0,0,2,0,0,1,0,0,1,"museum.ethnology: museum.ethnology|mus,eum.ethnology"
museum.finland,0,0,2,0,0,1,0,0,1,"museum.finland: museum.finland|mus,eum.finland"
museum.television,0,0,2,0,0,1,0,0,1,"museum.television: museum.television|mus,eum.television"
museum.satx,0,0,2,0,0,1,0,0,1,"museum.satx: museum.satx|mus,eum.satx"
museum.health,0,0,2,0,0,1,0,0,1,"museum.health: museum.health|mus,eum.health"
museum.amber,0,0,2,0,0,1,0,0,1,"museum.amber: museum.amber|mus,eum.amber"
museum.frankfurt,0,0,2,0,0,1,0,0,1,"museum.frankfurt: museum.frankfurt|mus,eum.frankfurt"
museum.quebec,0,0,2,0,0,1,0,0,1,"museum.quebec: museum.quebec|mus,eum.quebec"
museum.pacific,0,0,2,0,0,1,0,0,1,"museum.pacific: museum.pacific|mus,eum.pacific"
museum.discovery,0,0,2,0,0,1,0,0,1,"museum.discovery: museum.discovery|mus,eum.discovery"
museum.naturhistorisches,0,0.0131,2,0,0,2,0,0,1,"museum.naturhistorisches: museum.natur,hist,orisch,es|mus,eum.natur,hist,orisch,es"
museum.trustee,0,0.0127,2,0,0,2,0,0,1,"museum.trustee: museum.trustee|mus,eum.trustee"
museum.bushey,0,0,2,0,0,1,0,0,1,"museum.bushey: museum.bush,ey|mus,eum.bush,ey"
museum.epilepsy,0,0,2,0,0,1,0,0,1,"museum.epilepsy: museum.epilepsy|mus,eum.epilepsy"
museum.usa,0,0,2,0,0,1,0,0,1,"museum.usa: museum.usa|mus,eum.usa"
museum.montreal,0,0.0131,2,0,0,2,0,0,1,"museum.montreal: museum.montreal|mus,eum.montreal"
museum.british,0,0.0137,2,0,0,2,0,0,1,"museum.british: museum.british|mus,eum.british"
museum.versailles,0,0.0139,2,0,0,2,0,0,1,"museum.versailles: museum.versailles|mus,eum.versailles"
museum.convent,0,0,2,0,0,1,0,0,1,"museum.convent: museum.convent|mus,eum.convent"
museum.plaza,0,0,2,0,0,1,0,0,1,"museum.plaza: museum.plaza|mus,eum.plaza"
museum.bern,0,0,2,0,0,1,0,0,1,"museum.bern: museum.bern|mus,eum.bern"
museum.cranbrook,0,0.0136,2,0,0,2,0,0,1,"museum.cranbrook: museum.cran,brook|mus,eum.cran,brook"
museum.delaware,0,0,2,0,0,1,0,0,1,"museum.delaware: museum.delaware|mus,eum.delaware"
museum.schlesisches,0,0,2,0,0,1,0,0,1,"museum.schlesisches: museum.schle,sisc,hes|mus,eum.schle,sisc,hes"
museum.communication,0,0,2,0,0,1,0,0,1,"museum.communication: museum.communication|mus,eum.communication"
museum.whaling,0,0,2,0,0,1,0,0,1,"museum.whaling: museum.whaling|mus,eum.whaling"
museum.baghdad,0,0,2,0,0,1,0,0,1,"museum.baghdad: museum.baghdad|mus,eum.baghdad"
museum.pilots,0,0,2,0,0,1,0,0,1,"museum.pilots: museum.pilots|mus,eum.pilots"
museum.alabama,0,0,2,0,0,1,0,0,1,"museum.alabama: museum.alabama|mus,eum.alabama"
museum.mesaverde,0,0,2,0,0,1,0,0,1,"museum.mesaverde: museum.mesa,verde|mus,eum.mesa,verde"
museum.monmouth,0,0,2,0,0,1,0,0,1,"museum.monmouth: museum.monmouth|mus,eum.monmouth"
museum.washingtondc,-1,0.0014,2,0,0,2,0,1,1,"museum.washingtondc: museum.washington,dc|mus,eum.washington,dc"
museum.countryestate,0,0,2,0,0,1,0,0,1,"museum.countryestate: museum.country,estate|mus,eum.country,estate"
museum.windmill,0,0,2,0,0,1,0,0,1,"museum.windmill: museum.windmill|mus,eum.windmill"
museum.estate,0,0,2,0,0,1,0,0,1,"museum.estate: museum.estate|mus,eum.estate"
museum.touch,0,0,2,0,0,1,0,0,1,"museum.touch: museum.touch|mus,eum.touch"
museum.wales,0,0,2,0,0,1,0,0,1,"museum.wales: museum.wales|mus,eum.wales"
